  
    ************ Error Message List *************
  
    PW     --- Pathway                           
    Code   --- Error Type + Error Code           
    L#     --- The Line Number Where Error Occurs
    ModNam --- Module Name In Which Error Occurs 
    Hints  --- Hints For The Possible Solution   
    *********************************************
  
PW CODE    L#      MODNAM                       ERROR MESSAGES                      HINTS
-- ---- ------- ------------- -------------------------------------------------- ------------
  
CO E105       9        SETUP: Invalid Keyword Specified. The Troubled Keyword is     DOWNWASH
CO W361      11       COCARD: Multiyear PERIOD/ANNUAL values for NO2/SO2 require MULTYEAR Opt
CO W362      11       COCARD: Multiyear 1h NO2/SO2 processing not applicable for     3-hr Ave
CO W362      11       COCARD: Multiyear 1h NO2/SO2 processing not applicable for    24-hr Ave
SO W320      30        PPARM: Input Parameter May Be Out-of-Range for Parameter            QS
SO W320      31        PPARM: Input Parameter May Be Out-of-Range for Parameter            QS
SO W320      32        PPARM: Input Parameter May Be Out-of-Range for Parameter            QS
SO W320      33        PPARM: Input Parameter May Be Out-of-Range for Parameter            QS
SO W320      34        PPARM: Input Parameter May Be Out-of-Range for Parameter            QS
SO W320      35        PPARM: Input Parameter May Be Out-of-Range for Parameter            QS
SO W320      36        PPARM: Input Parameter May Be Out-of-Range for Parameter            QS
SO W320      37        PPARM: Input Parameter May Be Out-of-Range for Parameter            QS
